COD_DEIS	Año	Mes	COD_SIGTE	CONSULTAS	CONSULTAS_NUEVA	CONSULTAS_CONTROL	PERTINENTES	NSP	NSP_NUEVA	ALTAS
114101	2018	6	07-016	102	12	90	0	6	0	3
114101	2018	6	07-017	788	118	670	0	77	77	26
114101	2018	6	07-018	472	122	350	0	77	0	12
114101	2018	6	07-019	455	86	369	0	85	85	29
114101	2018	6	07-020	49	16	33	0	2	2	1
114101	2018	6	07-021	0	0	0	0	0	0	0
114101	2018	6	07-022	121	27	94	4	35	35	10
114101	2018	6	07-023	888	136	752	23	137	0	21
114101	2018	6	07-025	543	36	507	3	111	0	2
114101	2018	6	07-026	368	182	186	91	166	0	110
114101	2018	6	07-028	0	0	0	0	0	0	0
114101	2018	6	07-029	242	0	0	1	1	0	240
114101	2018	6	07-030	1901	319	1582	29	276	0	35
114101	2018	6	07-035	0	0	0	0	0	0	0
114101	2018	6	07-037	1468	105	1363	35	154	0	9
114101	2018	6	07-038	514	70	444	4	69	69	11
114101	2018	6	07-039	165	6	159	0	46	46	7
114101	2018	6	07-040	500	174	326	66	83	21	43
114101	2018	6	07-041	1113	247	866	58	119	0	38
114101	2018	6	07-042	1196	215	981	90	227	227	47
114101	2018	6	07-044	5550	1429	4121	0	647	79	60
114101	2018	6	07-045	778	85	693	2	55	0	28
114101	2018	6	07-046	1989	603	1386	0	305	116	87
114101	2018	6	07-047	114	9	105	2	34	34	6
114101	2018	6	07-048	1093	56	1037	0	279	0	27
114101	2018	6	07-049	161	23	138	0	0	0	0
114101	2018	6	07-051	962	62	900	0	64	0	5
114101	2018	6	07-053	3128	866	2262	148	565	0	133
114101	2018	6	07-054	815	175	640	50	102	0	15
114101	2018	6	07-055	569	124	445	0	90	90	41
114101	2018	6	07-056	95	28	67	3	17	0	1
114101	2018	6	07-057	94	24	70	2	23	23	2
114101	2018	6	07-058	1197	304	893	148	163	0	133
114101	2018	6	07-059	381	46	335	0	53	53	17
114101	2018	6	07-060	377	153	224	0	0	0	109
114101	2018	6	07-061	0	0	0	0	0	0	0
